
1 257
0.143547 -0.319328 2.52655
 
14 1285
0.206746 0.927991 2.59477
0.209742 0.702436 2.59996
0.214481 0.510576 2.53159
0.237437 0.337864 2.51576
0.0418423 0.917523 2.7686
0.0417684 0.643659 2.61992
0.057849 0.4591 2.44883
0.0638423 0.291988 2.47543
0.113509 0.0925742 2.46626
0.201581 0.216623 2.49618
0.290454 -0.304479 2.49852
0.000865243 -0.074309 2.63483
-0.0798704 0.168812 2.63314
-0.0368758 0.0100464 2.56318
-0.00157962 -0.0499516 2.52999
0.476206 -0.118627 2.50673
0.498266 0.0258416 2.49828
0.520794 0.0581373 2.45435
0.535138 0.194372 2.38625
0.332358 -0.404974 2.41653
0.258661 -0.414033 2.41997
0.329547 -0.516459 2.37781
0.260544 -0.520152 2.37893
0.153116 -0.178148 2.50405
0.3246 -0.149841 2.48532
0.406062 -0.271069 2.51515
0.150382 -0.318655 2.53324
 
15 1361
0.206324 0.928446 2.58583
0.211606 0.696073 2.59836
0.209089 0.506651 2.534
0.238893 0.339697 2.51411
0.0418423 0.917523 2.7686
0.0380395 0.615087 2.58663
0.058087 0.432086 2.41931
0.0638423 0.291988 2.47543
0.118842 0.0780877 2.4614
0.197453 0.228794 2.49826
0.296442 -0.303766 2.50694
0.00314731 -0.0589 2.61113
-0.0196034 0.140339 2.44988
-0.0368758 0.0100464 2.56318
-0.0262912 -0.0913277 2.60337
0.480471 -0.118867 2.50058
0.494816 0.0212848 2.47869
0.520794 0.0581373 2.45435
0.535138 0.194372 2.38625
0.338833 -0.404867 2.42462
0.265242 -0.408659 2.42815
0.332519 -0.516254 2.38538
0.264043 -0.514707 2.38635
0.155173 -0.180499 2.51228
0.323561 -0.143846 2.49111
0.406097 -0.266258 2.521
0.155911 -0.317003 2.53808
 
16 1435
0.204293 0.933375 2.58152
0.210466 0.700847 2.60007
0.213889 0.500251 2.53307
0.236329 0.333201 2.51233
0.0418423 0.917523 2.7686
0.0349632 0.583172 2.54618
0.0594976 0.404499 2.38783
0.0638423 0.291988 2.47543
0.121953 0.0575329 2.46175
0.19284 0.247832 2.49275
0.303203 -0.302632 2.51776
0.00406364 -0.0456689 2.58912
0.0084403 0.112464 2.34284
-0.0368758 0.0100464 2.56318
-0.0533652 -0.0988014 2.69541
0.480528 -0.129549 2.49816
0.505855 -0.00654662 2.4518
0.520794 0.0581373 2.45435
0.535138 0.194372 2.38625
0.345302 -0.402515 2.43081
0.272968 -0.404542 2.43655
0.338116 -0.515966 2.39212
0.270177 -0.511465 2.39542
0.159189 -0.186021 2.52183
0.321113 -0.134308 2.49715
0.400684 -0.258162 2.52479
0.161568 -0.319055 2.54339
 
17 1512
0.19902 0.934139 2.57983
0.211025 0.701564 2.60052
0.215159 0.49159 2.53186
0.230337 0.326005 2.51059
-0.0212043 0.648781 2.24175
0.0286748 0.561312 2.50098
0.0598423 0.379974 2.35671
0.0638423 0.291988 2.47543
0.122276 0.0464258 2.43108
0.189397 0.244791 2.48721
0.308532 -0.300393 2.52567
0.00427757 -0.046625 2.59643
-0.0196561 0.12928 2.50478
-0.0368758 0.0100464 2.56318
-0.0535747 -0.110785 2.66266
0.479339 -0.132369 2.49609
0.486006 -0.00674002 2.43823
0.504776 0.0306194 2.4187
0.512706 0.159598 2.31744
0.353369 -0.399943 2.44096
0.281204 -0.401372 2.44408
0.34527 -0.514246 2.39895
0.277168 -0.509721 2.40361
0.164851 -0.192946 2.52736
0.32004 -0.125402 2.50098
0.402088 -0.251476 2.53138
0.16676 -0.315445 2.54815
 
18 1588
0.193727 0.931661 2.58607
0.209032 0.699175 2.60082
0.2069 0.508546 2.5423
0.226687 0.338849 2.51333
-0.010037 0.861809 2.55281
0.0286748 0.561312 2.50098
0.0590714 0.358465 2.32543
0.0638423 0.291988 2.47543
0.122463 0.0409214 2.42126
0.202907 0.249223 2.4861
0.313334 -0.297033 2.53083
0.00529544 -0.0361106 2.57613
0.0104135 0.0981372 2.36358
-0.0368758 0.0100464 2.56318
-0.0535747 -0.110785 2.66266
0.477623 -0.135372 2.49894
0.47664 -0.011402 2.42288
0.492519 0.0218541 2.38829
0.489567 0.141472 2.27253
0.36073 -0.396056 2.44911
0.288227 -0.402327 2.449
0.359501 -0.509483 2.4085
0.290523 -0.508094 2.40968
0.162994 -0.186427 2.53417
0.320675 -0.117145 2.50634
0.403015 -0.245449 2.53729
0.171204 -0.314003 2.55297
 
19 1663
0.201173 0.932275 2.58542
0.20525 0.702948 2.60292
0.202179 0.513517 2.54423
0.218523 0.357509 2.5161
-0.0291831 0.914441 2.66738
0.0286748 0.561312 2.50098
0.0548531 0.344284 2.28824
0.0680817 0.265114 2.4657
0.123343 0.0385814 2.43209
0.217588 0.248169 2.48816
0.319365 -0.293787 2.53409
0.00415545 -0.0343058 2.58507
-0.0393489 0.13285 2.52577
-0.0368758 0.0100464 2.56318
-0.0535747 -0.110785 2.66266
0.476072 -0.137062 2.50184
0.487963 -0.0206391 2.41514
0.492519 0.0218541 2.38829
0.489567 0.141472 2.27253
0.367616 -0.392948 2.45263
0.295687 -0.402262 2.45568
0.371352 -0.51072 2.4143
0.301609 -0.507573 2.41628
0.164232 -0.181695 2.53727
0.319456 -0.112323 2.50773
0.406442 -0.241557 2.54155
0.177009 -0.312955 2.55489
 
20 1737
0.195143 0.932373 2.58595
0.201901 0.707865 2.60325
0.200128 0.514687 2.54472
0.212475 0.367738 2.51894
-0.0291831 0.914441 2.66738
0.0286748 0.561312 2.50098
0.0540385 0.328664 2.2547
0.0727739 0.244662 2.45724
0.123989 0.0375145 2.44188
0.215951 0.250992 2.48826
0.323726 -0.291235 2.53636
0.00298999 -0.0330356 2.59303
-0.0488802 0.134473 2.59719
-0.0368758 0.0100464 2.56318
-0.0535747 -0.110785 2.66266
0.474251 -0.133202 2.50214
0.489639 -0.0274764 2.40274
0.492519 0.0218541 2.38829
0.489567 0.141472 2.27253
0.374525 -0.393492 2.45812
0.300117 -0.404699 2.45987
0.380292 -0.510863 2.42115
0.311329 -0.508165 2.41877
0.162956 -0.175517 2.5394
0.317987 -0.106187 2.50802
0.409522 -0.235818 2.54542
0.182188 -0.315312 2.55738
 
21 1810
0.192092 0.937113 2.5785
0.202239 0.72487 2.61285
0.198835 0.519772 2.54716
0.213962 0.363855 2.51813
-0.0391589 0.490806 2.01749
0.0286748 0.561312 2.50098
0.0512435 0.314411 2.22235
0.0767997 0.224013 2.44917
0.126156 0.0951202 2.53908
0.218668 0.243012 2.48869
0.325401 -0.289409 2.53724
-0.0033512 -0.0335316 2.63065
-0.0462381 0.133254 2.64376
-0.0368758 0.0100464 2.56318
-0.0535747 -0.110785 2.66266
0.47259 -0.129462 2.50212
0.4608 -0.0126795 2.42198
0.476537 0.0144312 2.37288
0.449288 0.125279 2.24872
0.378242 -0.392412 2.46239
0.303288 -0.403014 2.46232
0.385607 -0.509341 2.42601
0.315414 -0.507073 2.42259
0.161293 -0.170618 2.54008
0.317035 -0.102233 2.50837
0.411171 -0.23256 2.54748
0.184709 -0.316405 2.55881
 
22 1884
0.194834 0.941006 2.5644
0.200608 0.715654 2.60614
0.203557 0.519526 2.5431
0.211103 0.372985 2.5164
-0.0391589 0.490806 2.01749
0.0286748 0.561312 2.50098
0.0536217 0.299742 2.19705
0.0767997 0.224013 2.44917
